FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
M11051103	M11051103	-0.0216576	0.0540125	0.0163849	0.00245177	-0.00564314	-0.023417	0.0107246	0.042834	-0.00775624	0.00483263
M11051904	M11051904	-0.0368181	0.0948266	0.00596456	0.0360745	0.0188564	0.00922724	-0.0297554	-0.0174395	0.0263369	-0.029649
M11051108	M11051108	-0.0209183	0.0630255	-0.0111359	0.000899042	0.000971272	-0.0729496	-0.0130868	0.00470326	0.000904737	0.0486095
M11060908	M11060908	-0.0227642	0.0481584	0.00340522	0.0138832	-0.000540131	-0.0272232	0.0781895	0.00522004	-0.00950342	0.0338568
M11051204	M11051204	-0.0196534	0.0682986	-0.002613	-0.014206	-0.00625924	-0.0306385	0.00796931	-0.0101235	0.0424071	-0.000675711
M11050402	M11050402	-0.000724953	0.0495388	0.00631733	-0.00823078	0.0376611	0.0730859	-0.0235984	0.0460014	0.00139864	-0.0120127
M11051102	M11051102	-0.0289915	0.0655563	0.00520819	0.0194825	0.00465997	0.00491025	-0.000139578	0.0054244	-0.0323028	0.0239373
M11051114	M11051114	-0.0225512	0.0810656	0.00177155	0.00536428	0.0231935	0.00982442	-0.0320997	-0.0175881	0.0431974	-0.0349473
M11072711	M11072711	-0.037495	0.0786763	-0.0199787	0.00338671	0.00749895	-0.0123798	0.0682617	0.00133146	-0.0284274	0.0211477
M11052808	M11052808	-0.0379635	0.0849859	-0.00892034	-0.00494111	0.0039499	-0.00889641	0.102794	0.0206486	-0.0873205	0.0292827
M11051207	M11051207	-0.0369951	0.0378733	-0.0158902	-0.0130495	-0.026156	-0.00755006	0.045926	0.0329461	-0.0620141	0.0220666
M11050506	M11050506	-0.0240942	0.0517699	-0.00695867	-0.00570708	-0.0246139	-0.0149619	0.0305297	0.0144178	0.0530479	-0.00491311
M11051110	M11051110	-0.0355262	0.0849083	-0.016708	0.0100649	-0.0207162	-0.00861716	-0.0565667	-0.0368443	-0.00810263	-0.0120421
